"Registration Number","Name of Company (Traditional Chinese)","Name of Company (English)","Area (Traditional Chinese)","Area (English)","District (Traditional Chinese)","District (English)","Business Address (Traditional Chinese)","Business Address (English)","Telephone Number","Workshop Type","Service Scope","Expiry Date","Review Status","Latitude","Longitude","Types of Vehicles Serviced (Traditional Chinese)","Types of Vehicles Serviced (English)","Types of Services Provided by the Workshop (Traditional Chinese)","Types of Services Provided by the Workshop (English)","Sundays (Open)","Sundays (Closed)","Mondays (Open)","Mondays (Closed)","Tuesdays (Open)","Tuesdays(Closed)","Wednesdays (Open)","Wednesdays(Closed)","Thursdays (Open)","Thursdays(Closed)","Fridays (Open)","Fridays (Closed)","Saturdays (Open)","Saturdays (Closed)","Public Holidays (Open)","Public Holidays (Closed)","Statutory Holidays (Open)","Statutory Holidays (Closed)","Opening Hours"
"VMW015917","永恆汽車服務有限公司","WING HANG MOTOR CAR SERVICE LIMITED","香港","Hong Kong","灣仔","WAN CHAI","堅彌地街22號地下","G/F, No. 22, Kennedy Street, ","28921906","4","IC","2027-07-16","","22.2734044","114.1739455","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW015940","聯益汽車有限公司","LUEN YICK MOTOR CO. LIMITED","九龍","Kowloon","深水埗","SHAM SHUI PO","福榮街238-240號 ‎地下1-3號舖","Shop 1-3, G/F, No. 238-240, Fuk Wing Street, ","27286160","4","IC","2025-11-15","","22.3350381","114.1587582","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW015962","合利汽車公司","HOP LEE MOTORS CO","九龍","Kowloon","黃大仙","WONG TAI SIN","環鳳街53號地下","G/F, No. 53, Wan Fung Street, ","90467071","4","IC","2026-03-10","","22.3457593","114.1984291","的士","Taxi","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW015973","好時機汽車服務","GOOD TIME CAR SERVICE","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鴻運街25號地下","G/F, No. 25, Hung Wan Street, To Kwa Wan","56964333","4","IC","2026-07-27","","22.3216579","114.1926885","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW015984","迅捷汽車公司","FAST MOTORS COMPANY","新界","N.T.","元朗","YUEN LONG","八鄉上輋 DD 111, LOT 111,112","DD 111, LOT 111,112 Sheung Che Pat Heung","92386791","3","IC","2026-02-10","","22.453046","114.097011","私家車, 輕型貨車, 中型貨車, 重型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW015995","李良記機械工程公司","LEE LEUNG KEE ENGINEERING CO","新界","N.T.","元朗","YUEN LONG","八鄉錦田公路(石崗菜站旁), LOT 464B","LOT 464B Side of Shek Kong Vegetable Station, Kam Tin Road, Pat Heung","24881235","3","IC","2025-11-15","","22.441626","114.086212","中型貨車, 重型貨車, 掛接式拖車頭及拖車架","Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer","電動及油壓配件","Electric and hydrauic operated accessories","","","","","","","","","","","","","","","","","","",""
"VMW016046","偉民汽車服務","RAYMOND CAR SERVICE","九龍","Kowloon","深水埗","SHAM SHUI PO","長沙灣永康街64至68號康輝大廈地下5至6號鋪","Shop 5-6, G/F, Hong Fai Building, No. 64-68, Wing Hong Street, Cheung Sha Wan","91040751","4","IC","2026-05-30","","22.340901","114.15398","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016056","天泰汽車修理","TIN TAI MOTOR REPAIR","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鳳儀街13號地下","G/F, No. 13, Fung Yi Street, To Kwa Wan","23362611","4","IC","2026-05-24","","22.3217897","114.1913353","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016068","恒進汽車服務公司","HANG CHUN MOTOR SERVICE COMPANY","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣鳳儀街19號地下","G/F, No. 19, Fung Yi Street, To Kwa Wan","97214792","4","IC","2026-02-10","","22.3219525","114.1914302","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016080","經典汽車維修有限公司","CLASSIC MOTOR SERVICE LIMITED","新界","N.T.","元朗","YUEN LONG","公庵路沙橋路口 DD 119, LOT 1198","DD 119, LOT 1198 Sha Kiu Tsuen, Kung Um Road, ","27565655","3","IC,EVL","2028-11-14","","22.419767","114.018086","私家車","Private Car","","","R","R","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","19:00","10:00","18:00","10:00","18:00","R","R","Mo 10:00-19:00, Tu 10:00-19:00, We 10:00-19:00, Th 10:00-19:00, Fr 10:00-19:00, Sa 10:00-18:00"
"VMW016091","志聯汽車公司","CHI LUEN MOTORS CAR CO","香港","Hong Kong","東區","EASTERN DISTRICT","筲箕灣愛民街42號鴻利大廈地下","G/F, Hung Lee Building, No. 42, Ngoi Man Street, Shau Kei Wan","25786513","4","IC","2026-01-12","","22.277303","114.226888","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","18:00","R","R","R","R","Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-18:00"
"VMW016115","新馬田汽車服務公司","NEW MARTIN MOTORS SERVICE CO.","新界","N.T.","元朗","YUEN LONG","十八鄉馬田公庵路 DD 119, LOT 1484","DD 119, LOT 1484 Kung Um Road, Ma Tin, Shap Pat Heung","92326326","3","IC","2025-11-15","","22.430071","114.023254","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016137","勝記輪呔有限公司","SHING KEE TYRES COMPANY LIMITED","新界","N.T.","沙田","SHA TIN","火炭禾寮坑路18-28號聯邦工業大廈地下D舖","Workshop D, G/F, Leapont Industrial Building, No. 18-28, Wo Liu Hang Road, Fo Tan","31889533","3","IC","2025-11-15","","22.39745","114.19706","私家車, 小巴, 輕型貨車, 中型貨車, 重型貨車","Private Car, Light Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","輪胎服務, 電池服務","Tyre, Battery","R","R","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","08:00","18:00","R","R","Mo 08:00-18:00, Tu 08:00-18:00, We 08:00-18:00, Th 08:00-18:00, Fr 08:00-18:00, Sa 08:00-18:00"
"VMW016182","明駿汽車服務有限公司","MING CHUN CAR SERVICES COMPANY LIMITED","新界","N.T.","屯門","TUEN MUN","青山公路順風圍389B號","No. 389B, Sun Fung Wai, Castle Peak Road, ","24768619","3","IC","2028-07-21","","22.42472","113.98791","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW016193","合眾汽車服務","HOP CHUNG MOTOR SERVICE","新界","N.T.","元朗","YUEN LONG","公奄路 119, 1498RP","119, 1498RP Kung Um Road, ","24792200","3","IC","2027-03-28","","22.4291","114.023109","私家車, 輕型貨車, 中型貨車","Private Car, Light Goods Vehicle, Medium Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","R","R","10:30","20:00","10:30","20:00","10:30","20:00","10:30","20:00","10:30","20:00","10:30","20:00","R","R","R","R","Mo 10:30-20:00, Tu 10:30-20:00, We 10:30-20:00, Th 10:30-20:00, Fr 10:30-20:00, Sa 10:30-20:00"
"VMW016206","卓越汽車服務公司","CHUK YUN MOTORS SERVICE COMPANY","新界","N.T.","元朗","YUEN LONG","大棠僑興路 DD 117, LOT 1454RP","DD 117, LOT 1454RP Kiu Hing Road, Tai Tong","61526314","3","IC","2025-11-15","","22.41502","114.025612","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW016243","友利車行有限公司","UNION WINNER LIMITED","新界","N.T.","大埔","TAI PO","粉嶺泰亨村 S.C. 7A1 DD 7, LOT 237C","S.C. 7A1 DD 7, LOT 237C Tai Hang Tsuen, Fanling","26502333","3","IC","2026-01-27","","22.4671281","114.1505658","的士","Taxi","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 輪胎服務, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Tyre, Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW016295","生興行有限公司","SANG HING HONG CO LTD","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀大角咀道82號蜆殼大角咀油站","Tai Kok Tsui Shell Filling Station, No. 82, Tai Kok Tsui Road, Tai Kok Tsui","23928729","3","IC","2028-06-03","","22.3207004","114.1622026","","","","","","","","","","","","","","","","","","","","","","",""
"VMW016304","峯達汽車服務","AUTOBARN WORKSHOP","新界","N.T.","北區","NORTH DISTRICT","粉嶺安樂村安居街30號新寧中心地下5號舖","Flat 5, G/F, Sunning Centre, No. 30, On Kui Street, On Lok Tsuen, Fanling","65184988","3","IC,EVL","2026-03-18","","22.49862","114.14653","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW016319","成功車房","SUCCESS REPAIR","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣下鄉道95-97號安樂工廠大廈地下G舖","Shop G, G/F, On Lok Factory Building, No. 95-97, Ha Heung Road, To Kwa Wan","23930102","3","IC","2028-03-18","","22.318784","114.189872","的士","Taxi","","","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","09:00","19:00","Su 09:00-19:00,Mo 09:00-19:00, Tu 09:00-19:00, We 09:00-19:00, Th 09:00-19:00, Fr 09:00-19:00, Sa 09:00-19:00"
"VMW016328","合德汽車有限公司","REGAL MOTORS LTD","新界","N.T.","元朗","YUEN LONG","新田惇裕路 DD 99, LOT 744RP","DD 99, LOT 744RP Tun Yu Road, San Tin","26722625","2","IC","2026-03-10","","22.5044","114.0772","小巴, 巴士, 輕型貨車, 中型貨車, 重型貨車","Light Bus, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作), 空調服務, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Air-conditioning, Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW016331","志建汽車(托管)服務","志建汽車(托管)服務","新界","N.T.","屯門","TUEN MUN","五柳路668號地下","G/F, No. 668, Ng Lau Road, ","24661692","3","IC","2026-02-24","","22.422758","113.983114","私家車, 的士, 輕型貨車","Private Car, Taxi, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW016342","捷信汽車維修站有限公司","MOTORMECH SERVICE STATION LIMITED","九龍","Kowloon","深水埗","SHAM SHUI PO","長沙灣青山道505號通源工業大廈地下","G/F, Tong Yuen Factory Building, No. 505, Castle Peak Road, Cheung Sha Wan","24111882","3","IC","2026-01-27","","22.3370549","114.1451889","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","20:00","08:00","17:00","R","R","R","R","Mo 08:00-20:00, Tu 08:00-20:00, We 08:00-20:00, Th 08:00-20:00, Fr 08:00-20:00, Sa 08:00-17:00"
"VMW016351","新力機械有限公司","NEW TECH MOTOR ENGINEERING LIMITED","新界","N.T.","元朗","YUEN LONG","屏山廈村新生村150-B-2","","28668966","3","IC","2026-05-24","","22.441278","113.986417","私家車, 的士, 小巴, 巴士, 輕型貨車, 中型貨車, 重型貨車","Private Car, Taxi, Light Bus, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016363","香港消防處 - 九龍工程部","HONG KONG FIRE SERVICES DEPARTMENT -","九龍","Kowloon","觀塘","KWUN TONG","九龍灣臨興街3號九龍灣消防局地下","G/F, Kowloon Bay Fire Station, No. 3, Lam Hing Street, Kowloon Bay","27505649","2","IC","2026-05-30","","22.3249","114.20549","其他","Others","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016373","香港消防處 - 港島工程部","HONG KONG FIRE SERVICES DEPARTMENT - 'H' W/S","香港","Hong Kong","東區","EASTERN DISTRICT","北角渣華道323號消防大廈地下","G/F, Fire Services Building, No. 323, Java Road, North Point","22013488","2","IC","2026-05-30","","22.29264","114.20767","其他","Others","一般車輛維修 (機械和電器工作), 車身修理","General vehicle maintenance (mechanical and electrical work), Body works","","","","","","","","","","","","","","","","","","",""
"VMW016390","香港消防處 - 新界工程部 (葵涌)","HONG KONG FIRE SERVICES DEPARTMENT - 'NT' W/S (Kwai Chung)","新界","N.T.","葵青","KWAI TSING","葵涌荔景山路230號地下","G/F, No. 230, Lai King Hill Road, Kwai Chung","23700038","2","IC,EVL","2026-03-10","","22.34211","114.13197","其他","Others","一般車輛維修 (機械和電器工作), 車身修理, 車身製造 (中型及重型車輛), 空調服務, 電動及油壓配件, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Body works, Body built (Medium-sized and heavy vehicles), Air-conditioning, Electric and hydrauic operated accessories, Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW016419","新偉豐汽車維修","SAN WAI FUNG MOTOR SERVICE","香港","Hong Kong","東區","EASTERN DISTRICT","筲箕灣亞公岩譚公廟道27號地下","G/F, No. 27, Tam Kung Temple Road, A Kung Ngam, Shau Kei Wan","","3","IC","2027-02-14","","22.28303","114.23197","私家車, 輕型貨車","Private Car, Light Goods Vehicle","車身修理","Body works","","","","","","","","","","","","","","","","","","",""
"VMW016426","盈利88有限公司","P & H 88 LIMITED","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀美安街24號地下","G/F, No. 24, Mei On Street, Tai Kok Tsui","23913468","4","IC","2026-01-01","","22.3229748","114.1614213","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","10:00","18:00","10:00","18:00","10:00","18:00","10:00","18:00","10:00","18:00","10:00","18:00","R","R","R","R","Mo 10:00-18:00, Tu 10:00-18:00, We 10:00-18:00, Th 10:00-18:00, Fr 10:00-18:00, Sa 10:00-18:00"
"VMW016438","地勤設備工程有限公司","GROUND SUPPORT ENGINEERING LIMITED","新界","N.T.","離島","ISLANDS DISTRICT","大嶼山香港國際機場航膳西路7號","No. 7, Catering Road West, Hong Kong International Airport, Lantau Island","29496119","2","IC","2026-05-12","","22.30082","113.93047","私家車, 小巴, 巴士, 輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架,其他","Private Car, Light Bus, Bus, Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer,Others","一般車輛維修 (機械和電器工作), 石油氣車輛維修, 電動車/混能車(高壓電部分維修), 車身修理, 車身噴漆, 輪胎服務, 電池服務, 空調服務, 電動及油壓配件, 更換機油服務","General vehicle maintenance (mechanical and electrical work), Maintenance for LPG vehicles, Maintenance for high-voltage parts of electric vehicles/ hybrid vehicles, Body works, Spray painting, Tyre, Battery, Air-conditioning, Electric and hydrauic operated accessories, Engine oil changing","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","00:00","23:59","Su 00:00-23:59,Mo 00:00-23:59, Tu 00:00-23:59, We 00:00-23:59, Th 00:00-23:59, Fr 00:00-23:59, Sa 00:00-23:59"
"VMW016446","健力汽車服務","KENNY AUTO SPORTS CENTRE","九龍","Kowloon","觀塘","KWUN TONG","牛頭角定富街94-110號仁厚大廈地下96-98號","Flat 96-98, G/F, Yen Hau Mansion, No. 94-110, Ting On Street, Ngau Tau Kok","27132739","4","IC,EVL","2026-01-12","","22.316383","114.217281","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016455","勵進汽車有限公司","TEAM LEGEND MOTOR LIMITED","九龍","Kowloon","深水埗","SHAM SHUI PO","保安道1號寶安閣地下8號舖","Shop 8, G/F, Po On Court, No. 1, Po On Road, ","64634164","4","IC","2026-01-12","","22.3360792","114.1611098","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016502","南亞汽車修理","NAM AH AUTO SERVICE","新界","N.T.","荃灣","TSUEN WAN","荃榮街寶業大廈B座地下62B舖","Flat 62B, G/F, Block B, Po Yip Building, Tsuen Wing Street, ","24931149","3","IC","2028-04-06","","22.3681113","114.1216793","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW016528","萬里通車房有限公司","WORLDWIDE UNIVERSAL GARAGE LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","柴灣利眾街44號四興隆工業大廈地下","G/F, Sze Hing Lung Industrial Building, No. 44, Lee Chung Street, Chai Wan","25703839","3","IC","2026-03-11","","22.26647","114.23555","小巴","Light Bus","","","","","","","","","","","","","","","","","","","","",""
"VMW016539","合興汽車服務公司","HOP HING MOTOR ENGINEERING WORKS CO.","新界","N.T.","葵青","KWAI TSING","青衣青衣路81號","No. 81, Tsing Yi Road, Tsing Yi","27717383","3","IC","2026-01-27","","22.3324","114.09157","輕型貨車, 中型貨車, 重型貨車, 掛接式拖車頭及拖車架,其他","Light Goods Vehicle, Medium Goods Vehicle, Heavy Goods Vehicle, Articulated Tractor and Trailer,Others","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","R","R","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","09:00","20:00","Mo 09:00-20:00, Tu 09:00-20:00, We 09:00-20:00, Th 09:00-20:00, Fr 09:00-20:00, Sa 09:00-20:00"
"VMW016546","全達汽車修理服務","CHUEN TAT MOTORS REPAIRS SERVICE","香港","Hong Kong","南區","SOUTHERN DISTRICT","香港仔石排灣道48-52號富澤大廈低層2號舖","Shop 2, G/F, Full Jade Mansion, No. 48-54, Shek Pai Wan Road, Aberdeen","25526620","4","IC","2026-01-12","","22.24939","114.14793","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:30","19:00","09:30","19:00","09:30","19:00","09:30","19:00","09:30","19:00","09:30","19:00","R","R","R","R","Mo 09:30-19:00, Tu 09:30-19:00, We 09:30-19:00, Th 09:30-19:00, Fr 09:30-19:00, Sa 09:30-19:00"
"VMW016568","時尚汽車有限公司","VOGUE MOTORS COMPANY LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","北角建華街15號地下","G/F, No. 15, Kin Wah Street, North Point","31051791","4","IC","2028-08-10","","22.2891178","114.1963433","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW016579","金威輪胎防漏服務站 (土瓜灣)","KAMWAI TYRE SERVICE CENTRE (TO KWA WAN)","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣浙江街25-27號地下18號舖","Flat 18, G/F, No. 25-27, Chi Kiang Street, To Kwa Wan","31561156","4","IC","2027-09-18","","22.3147407","114.1895369","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 輪胎服務","General vehicle maintenance (mechanical and electrical work), Tyre","","","","","","","","","","","","","","","","","","",""
"VMW016580","基發楊記汽車服務","KEE FAT YEUNG KEE CAR SERVICE","新界","N.T.","大埔","TAI PO","南坑村67號A","No. 67A, Nam Hang Village, ","26508622","3","IC","2027-04-24","","22.45911","114.16991","私家車, 小巴, 巴士, 輕型貨車","Private Car, Light Bus, Bus, Light Goods Vehicle","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW016591","中港車身製造廠有限公司","CHINA KONG AUTO BODY BUILDERS COMPANY LIMITED","新界","N.T.","元朗","YUEN LONG","新田 DD 102, LOT 2399","DD 102, LOT 2399 San Tin","24880035","2","IC","2026-06-17","","22.493187","114.082993","小巴, 巴士","Light Bus, Bus","車身製造 (中型及重型車輛), 車身噴漆, 汽車玻璃, 電動及油壓配件","Body built (Medium-sized and heavy vehicles), Spray painting, Glazing, Electric and hydrauic operated accessories","","","","","","","","","","","","","","","","","","",""
"VMW016604","金孚汽車維修有限公司","GAINFULL MOTORS SERVICES LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣木廠街9號地下","G/F, No. 9, Mok Cheong Street, To Kwa Wan","36782675","1","IC","2028-05-26","","22.321694","114.192639","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","R","R","09:30","18:30","09:30","18:30","09:30","18:30","09:30","18:30","09:30","18:30","09:30","18:30","R","R","R","R","Mo 09:30-18:30, Tu 09:30-18:30, We 09:30-18:30, Th 09:30-18:30, Fr 09:30-18:30, Sa 09:30-18:30"
"VMW016637","車維仕汽車服務","TAURUS ONE-STOP CAR SERVICES","香港","Hong Kong","灣仔","WAN CHAI","銅鑼灣堅拿道西35號中石化油站","Sinopec Services Station, No. 35, Canal Road West, Causeway Bay","31611821","3","IC","2025-10-17","","22.27691","114.18119","私家車","Private Car","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW016648","長榮車房","CHEUNG WING MOTOR","九龍","Kowloon","九龍城","KOWLOON CITY","馬頭角鳳儀街22號地下","G/F, No. 22, Fung Yi Street, Ma Tau Kok","23309788","4","IC","2028-03-12","","22.3220505","114.1915593","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016659","新威貿易有限公司","SUN BRIGHT TRADING LIMITED","新界","N.T.","元朗","YUEN LONG","八鄉錦上路水盞田200號","200 Shui Tsan Tin Tsuen, Kam Sheung Road, Pat Heung","24883188","3","IC","2027-05-19","","22.427225","114.082189","私家車","Private Car","一般車輛維修 (機械和電器工作), 更換機油服務","General vehicle maintenance (mechanical and electrical work), Engine oil changing","","","","","","","","","","","","","","","","","","",""
"VMW016671","新紀元汽車服務公司","ERA AUTO SERVICE CO.","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀嘉善街17號B地下","G/F, No. 17B, Ka Shin Street, Tai Kok Tsui","23817770","4","IC","2028-08-04","","22.3198595","114.1613567","私家車","Private Car","","","R","R","10:00","20:00","10:00","20:00","10:00","20:00","10:00","20:00","10:00","20:00","10:00","19:00","R","R","10:00","19:00","Mo 10:00-20:00, Tu 10:00-20:00, We 10:00-20:00, Th 10:00-20:00, Fr 10:00-20:00, Sa 10:00-19:00"
"VMW016739","明發車行有限公司","MING FAT MOTORS COMPANY LIMITED","九龍","Kowloon","深水埗","SHAM SHUI PO","長沙灣昌華街41-51號昌暉大廈地下2室","Flat 2, G/F, Cheung Fai Building, No. 41-51, Cheung Wah Street, Cheung Sha Wan","27414197","4","IC,EVL","2026-01-01","","22.3406832","114.1545713","私家車, 的士","Private Car, Taxi","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","R","R","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","09:00","18:00","R","R","R","R","Mo 09:00-18:00, Tu 09:00-18:00, We 09:00-18:00, Th 09:00-18:00, Fr 09:00-18:00, Sa 09:00-18:00"
"VMW016743","景豐汽車維修有限公司","KF MOTORS SERVICE LIMITED","九龍","Kowloon","九龍城","KOWLOON CITY","土瓜灣長寧街25號麗明閣地下","G/F, Lai Ming Court, No. 25, Cheung Ning Street, To Kwa Wan","","4","IC","2028-02-11","","22.31728","114.189564","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW016768","MING'S MOTORS","MING'S MOTORS","新界","N.T.","葵青","KWAI TSING","葵涌國瑞路河背村20號地下","G/F, Ho Pui Tsuen, No. 20, Kwok Shui Road, Kwai Chung","91880323","4","IC","2028-05-26","","22.3711463","114.1263973","私家車, 輕型貨車","Private Car, Light Goods Vehicle","","","","","","","","","","","","","","","","","","","","",""
"VMW016819","永昇拖車工程有限公司","WING SING TOWING & ENGINEERING COMPANY LIMITED","香港","Hong Kong","東區","EASTERN DISTRICT","北角錦屏街45號東發大廈地下","G/F, Tung Fat Building No. 45, Kam Ping Street North Point","25165050","4","IC","2028-08-10","","22.28993","114.20018","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
"VMW016831","領域汽車維修中心","AREA MOTORS SERVICE CENTRE","九龍","Kowloon","觀塘","KWUN TONG","大業街13號日生工業大廈地下","G/F, Yat Sang Industrial Building, No. 13, Tai Yip Street, ","27933669","3","IC","2026-01-13","","22.3158617","114.2160633","私家車","Private Car","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016857","耀昌電單車行","YIU CHEONG MOTORCYCLE CO","九龍","Kowloon","油尖旺","YAU TSIM MONG","大角咀美安街28號地下","G/F, No. 28, Mei On Street, Tai Kok Tsui","27875469","4","IC","2026-01-01","","22.3229447","114.1612255","電單車","Motorcycle","一般車輛維修 (機械和電器工作), 輪胎服務","General vehicle maintenance (mechanical and electrical work), Tyre","","","","","","","","","","","","","","","","","","",""
"VMW016900","寶文汽車服務","BO MAN MOTOR SERVICE","香港","Hong Kong","東區","EASTERN DISTRICT","西灣河大石街19號A地下","G/F, No. 19A, Tai Shek Street, Sai Wan Ho","28843118","4","IC","2026-12-25","","22.281783","114.2210052","私家車, 輕型貨車","Private Car, Light Goods Vehicle","一般車輛維修 (機械和電器工作)","General vehicle maintenance (mechanical and electrical work)","","","","","","","","","","","","","","","","","","",""
"VMW016923","環球(綜合)汽車維修中心","UNIVERSAL (INTEGRATE) CAR REPAIR SHOP","新界","N.T.","北區","NORTH DISTRICT","粉嶺坪輋 DD77, LOT 1437-8","DD77, LOT 1437-8 Ping Che, Fanling","90614872","3","IC","2027-09-04","","22.52066","114.16133","私家車","Private Car","","","","","","","","","","","","","","","","","","","","",""
